Crop,Dis,Crop+Dis,long,lati,next_Dis
コンニャク,0,コンニャク0,138.8398762,36.28526347,1
コンニャク,1,コンニャク1,138.838936,36.28603583,1
野菜等,0,野菜等,138.8370282,36.28476707,0
野菜等,0,野菜等,138.8362261,36.28569655,0
不耕作,0,不耕作,138.7928646,36.2989666,0
農地以外,0,農地以外,138.7927988,36.29914426,0
野菜等,0,野菜等,138.7926179,36.29884298,0
不耕作,0,不耕作,138.7889842,36.30081152,0
耕作放棄,0,耕作放棄,138.788594,36.30006806,0
コンニャク,1,コンニャク1,138.7884168,36.30057412,2
コンニャク,1,コンニャク1,138.7877567,36.30080714,3
コンニャク,1,コンニャク1,138.7873019,36.3010269,3
コンニャク,1,コンニャク1,138.7929488,36.30004989,0
野菜等,0,野菜等,138.7925683,36.30017719,0
耕作放棄,0,耕作放棄,138.7922952,36.30030144,0
野菜等,0,野菜等,138.793057,36.2992918,0
コンニャク,2,コンニャク2,138.7927994,36.29961529,2
コンニャク,3,コンニャク3,138.7922235,36.29979462,2
農地以外,0,農地以外,138.7921365,36.30000885,0
農地以外,0,農地以外,138.7919913,36.29973049,0
農地以外,0,農地以外,138.7919246,36.29987114,0
コンニャク,2,コンニャク2,138.7892945,36.29920854,3
コンニャク,2,コンニャク2,138.789103,36.29933525,3
耕作放棄,0,耕作放棄,138.7888161,36.29951011,0
耕作放棄,0,耕作放棄,138.7885372,36.29966786,0
耕作放棄,0,耕作放棄,138.7883653,36.29977666,0
コンニャク,0,コンニャク0,138.790748,36.29977085,1
コンニャク,1,コンニャク1,138.7900512,36.30009325,3
コンニャク,1,コンニャク1,138.7895364,36.29997253,2
野菜等,0,野菜等,138.7893091,36.30028709,0
不耕作,0,不耕作,138.7939334,36.30006947,0
野菜等,0,野菜等,138.7939089,36.30034245,0
不耕作,0,不耕作,138.7936376,36.30024442,0
不耕作,0,不耕作,138.793474,36.30037063,0
野菜等,0,野菜等,138.7931907,36.30036979,0
不耕作,0,不耕作,138.7929907,36.30043498,0
耕作放棄,0,耕作放棄,138.7928033,36.30060781,0
耕作放棄,0,耕作放棄,138.7925188,36.30072829,0
コンニャク,1,コンニャク1,138.793325,36.29997243,1
コンニャク,0,コンニャク0,138.791689,36.2991683,1
野菜等,0,野菜等,138.7912597,36.29921145,0
耕作放棄,0,耕作放棄,138.7908975,36.299331,0
コンニャク,2,コンニャク2,138.791342,36.2997912,1
コンニャク,0,コンニャク0,138.7905698,36.29903618,0
コンニャク,0,コンニャク0,138.7901461,36.29917487,0
コンニャク,3,コンニャク3,138.7897146,36.29894706,0
コンニャク,1,コンニャク1,138.789486,36.29907863,2
耕作放棄,0,耕作放棄,138.7935384,36.29849493,0
農地以外,0,農地以外,138.793236,36.29857641,0
不耕作,0,不耕作,138.7932023,36.29903152,0
野菜等,0,野菜等,138.7929537,36.29849097,0
耕作放棄,0,耕作放棄,138.7842083,36.30444395,0
